
mean       0.184594 -0.2 2
sigma      0.0709408 0 0.6
y-itercept 3.78033 0 990
slope      -0.654132 -19.8 0
q-Boundary 0.0651369 -0.4375 0.5625
========== 19 6 0.6 3
0 0 -4 6
amplitude  420.562 0 428
mean       0.108526 -0.2 2
sigma      0.108625 0 0.6
y-itercept 4.84512 0 4280
slope      -0.736968 -85.6 0
q-Boundary -0.155321 -0.6625 0.3375
========== 19 7 0.6 3
0 0 -4 6
amplitude  275.95 0 279
mean       0.109025 -0.2 2
sigma      0.149879 0 0.6
y-itercept 2.74542 0 2790
slope      -0.182356 -55.8 0
q-Boundary -0.256836 -0.8625 0.1375
========== 19 8 0.6 3
0 0 -4 6
amplitude  203.333 0 210
mean       0.135934 -0.2 2
sigma      0.157529 0 0.6
y-itercept 4.08332 0 2100
